Pada	O
tahun	O
1973	O
,	O
Anwar	PERSON
Sadat	PERSON
,	O
bersama-sama	O
dengan	O
Hafez	PERSON
Al	O
Assad	PERSON
,	O
Syria	PLACE
,	O
memimpin	O
Mesir	PLACE
dalam	O
Perang	O
Yom	O
Kippur	O
melawan	O
Israel	PLACE
,	O
untuk	O
merebut	O
kembali	O
semenanjung	O
Sinai	O
,	O
yang	O
dicaplok	O
oleh	O
Israel	PLACE
ketika	O
Krisis	O
Terusan	PLACE
Suez	PLACE
1956	O
dan	O
Perang	O
Enam	O
Hari.Meskipun	O
dalam	O
pertempuran	O
ini	O
masih	O
dipertentangkan	O
pihak	O
menang	O
ataupun	O
kalah	O
,	O
serta	O
hasil	O
Perjanjian	O
Camp	O
David	O
yang	O
menetapkan	O
Sinai	O
kembali	O
ketangan	O
Mesir	PLACE
,	O
keberhasilan	O
Anwar	PERSON
Sadat	PERSON
menaikan	O
moral	O
rakyat	O
Mesir	PLACE
dan	O
Dunia	O
Arab	O
serta	O
mengadakan	O
untuk	O
perjanjian	O
damai	O
beberapa	O
tahun	O
berikutnya	O
.	O

Berdasarkan	O
relief	O
dan	O
topografi	O
,	O
di	O
tengah-tengah	O
Pulau	O
Bali	PLACE
terbentang	O
pegunungan	O
yang	O
memanjang	O
dari	O
barat	O
ke	O
timur	O
dan	O
di	O
antara	O
pegunungan	O
tersebut	O
terdapat	O
gugusan	O
gunung	O
berapi	O
yaitu	O
Gunung	PLACE
Batur	PLACE
dan	O
Gunung	PLACE
Agung	PLACE
serta	O
gunung	O
yang	O
tidak	O
berapi	O
,	O
yaitu	O
Gunung	PLACE
Merbuk	PLACE
,	O
Gunung	O
Patas	PLACE
dan	O
Gunung	PLACE
Seraya	PLACE
.	O

Sedangkan	O
Kuta	PLACE
,	O
Seminyak	PLACE
,	O
Jimbaran	PLACE
dan	O
Nusa	PLACE
Dua	PLACE
adalah	O
beberapa	O
tempat	O
yang	O
menjadi	O
tujuan	O
utama	O
pariwisata	O
,	O
baik	O
wisata	O
pantai	O
maupun	O
tempat	O
peristirahatan	O
,	O
spa	O
,	O
dan	O
lain-lain	O
,	O
terletak	O
di	O
Kabupaten	PLACE
Badung	PLACE
.	O

Chairil	PERSON
Anwar	PERSON
mulai	O
mengenyam	O
pendidikan	O
di	O
``	O
Hollandsch-Inlandsche	ORGANISATION
School	ORGANISATION
''	O
-LRB-	O
HIS	O
-RRB-	O
,	O
sekolah	O
dasar	O
untuk	O
orang-orang	O
pribumi	O
pada	O
masa	O
penjajahan	O
Belanda	PLACE
.	O

Ia	O
juga	O
mengisi	O
jam-jamnya	O
dengan	O
membaca	O
karya-karya	O
pengarang	O
internasional	O
ternama	O
,	O
seperti	O
:	O
Rainer	PERSON
Maria	PERSON
Rilke	PERSON
,	O
W.H.	O

Pada	O
awal	O
1954	O
,	O
Gamal	PERSON
Abdul	PERSON
Nasser	PERSON
menangkap	O
dan	O
menahan	O
presiden	O
Mesir	PLACE
ketika	O
itu	O
,	O
jendral	PERSON
Muhammad	PERSON
Naguib	PERSON
,	O
dan	O
pada	O
25	O
Februari	O
1954	O
Gamal	PERSON
Abdul	PERSON
